,admin1,admin2,year,month,fatalities,cc_event_count,actor_state,actor_rebel_groups,actor_political_militias,actor_identity_militias,actor_civilians,actor_others,cc_onset,admin0,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
84,Addis Ababa,Addis Ababa,2004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29.405568284000005,0.0,16.460384627,2708629.0,0.0,0.0,0.0,131.92454545,0.0,Addis Ababa_Addis Ababa
85,Addis Ababa,Addis Ababa,2004,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.361654824,29.405568284000005,15.820202293,2708629.0,0.0,0.0,0.0,130.59524937,131.92454545,Addis Ababa_Addis Ababa
86,Addis Ababa,Addis Ababa,2004,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45.192498052000005,15.361654824,17.122411924999998,2708629.0,0.0,0.0,0.0,129.01440648,130.59524937,Addis Ababa_Addis Ababa
87,Addis Ababa,Addis Ababa,2004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,127.475160213,45.192498052000005,17.144078312999998,2708629.0,0.0,0.0,0.0,134.77100551,129.01440648,Addis Ababa_Addis Ababa
88,Addis Ababa,Addis Ababa,2004,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,21.348348253,127.475160213,18.026642300000002,2708629.0,0.0,0.0,0.0,137.94384725000003,134.77100551,Addis Ababa_Addis Ababa
89,Addis Ababa,Addis Ababa,2004,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,115.99248893,21.348348253,16.209081143,2708629.0,0.0,0.0,0.0,132.02000821,137.94384725000003,Addis Ababa_Addis Ababa
90,Addis Ababa,Addis Ababa,2004,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,255.83804979,115.99248893,15.646834543999994,2708629.0,0.0,0.0,0.0,128.42613151999998,132.02000821,Addis Ababa_Addis Ababa
91,Addis Ababa,Addis Ababa,2004,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,282.66259509,255.83804979,15.938478087000004,2708629.0,0.0,0.0,0.0,138.18626572,128.42613151999998,Addis Ababa_Addis Ababa
92,Addis Ababa,Addis Ababa,2004,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,141.55779761000005,282.66259509,15.691246614,2708629.0,0.0,0.0,0.0,147.08636929999997,138.18626572,Addis Ababa_Addis Ababa
93,Addis Ababa,Addis Ababa,2004,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.779871131,141.55779761000005,14.622446452000004,2708629.0,0.0,0.0,0.0,149.05107533,147.08636929999997,Addis Ababa_Addis Ababa
94,Addis Ababa,Addis Ababa,2004,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.198830869099998,32.779871131,15.038014662,2708629.0,0.0,0.0,0.0,141.66923769000005,149.05107533,Addis Ababa_Addis Ababa
95,Addis Ababa,Addis Ababa,2004,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.5846772974,6.198830869099998,15.379905391000007,2708629.0,0.0,0.0,0.0,133.08522892000002,141.66923769000005,Addis Ababa_Addis Ababa
